[WARNING] [TerrainFlicker] #20 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1624.078 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #21 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1624.831 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #22 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1625.590 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #23 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1626.353 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #24 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1627.115 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #25 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1627.898 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #26 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1628.659 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #27 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1629.411 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #28 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1630.168 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #29 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1630.936 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #30 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1631.706 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
[WARNING] [TerrainFlicker] #31 reason='draw terrain visuals: resident terrain objects skipped by camera intersection' time=1632.469 residentObjects=13 drawnObjects=0 drawnTriangles=0 residentTriangles=651 coverage='visible terrain covered' visibleWindow=3..4, -3..-1 targetMaterializedWindow=-2..6, -6..2 targetVisualWindow=-2..6, -6..2 appliedVisualWindow=-2..6, -6..2 appliedColliderWindow=-2..6, -6..2 colliderWindow=-2..6, -6..2 pendingCritical=0 pendingTotal=1 dirty=False materializationInFlight=False startupReady=True camera=3474.7..4918.5, -2509.2..-365.6 | GameBlockTerrainBackground.cs::EmitTerrainFlickerDiagnostic @ Line 10443
